,Installed cost by region,Australia,Brazil,China,France,Germany,Greece,India,Italy,Japan,Netherlands,Poland,Republic of Korea,Spain,TÃ¼rkiye,United States,Africa,Central America and the Caribbean,Eurasia,Europe,Oceania,Other Asia,Other North America,Other South America,Brazil.1,China.1,India.1,United States.1
0,2010,8226.0,,4291.0,6515.0,4412.0,5628.0,6016.0,6079.0,,,,,5564.0,,5552.0,,,,,,,,,,,,
1,2011,8071.0,7523.0,4031.0,6650.0,3509.0,4373.0,3706.0,5733.0,6644.0,,,7013.0,3887.0,,5343.0,,,,,,,,,,,,
2,2012,5846.0,6204.0,3275.0,5890.0,2788.0,2618.0,3251.0,3045.0,4666.0,,,3628.0,3201.0,,5206.0,,,,,,,,,,,,
3,2013,3431.0,5117.0,2521.0,3865.0,2386.0,2354.0,3347.0,2424.0,3987.0,,,3171.0,2751.0,,4197.0,,,,,,,,,,,,
4,2014,3581.0,6069.0,2100.0,2821.0,1906.0,2356.0,2271.0,2241.0,3655.0,,,2633.0,2758.0,,3436.0,,,,,,,,,,,,
5,2015,2663.0,2498.0,1623.0,1857.0,1524.0,2358.0,1548.0,1798.0,2645.0,,,2491.0,1423.0,,3062.0,3437.0,2612.0,3438.0,1759.0,2663.0,2652.0,2642.0,3202.0,2498.0,1623.0,1548.0,3062.0
6,2016,2293.0,2461.0,1469.0,1572.0,1384.0,2360.0,1332.0,1443.0,2902.0,1355.0,,2458.0,1273.0,1866.0,2652.0,3026.0,2432.0,3007.0,1607.0,2373.0,2413.0,2422.0,2828.0,2177.0,1451.0,1373.0,2721.0
7,2017,2346.0,1975.0,1378.0,1476.0,1327.0,2362.0,1328.0,1158.0,2632.0,1843.0,,1883.0,1140.0,1496.0,2230.0,2664.0,2265.0,2630.0,1468.0,2115.0,2195.0,2219.0,2498.0,1897.0,1297.0,1217.0,2418.0
8,2018,1810.0,1810.0,1047.0,1279.0,1326.0,2165.0,944.0,1036.0,2502.0,1391.0,,1579.0,1020.0,1436.0,1844.0,2346.0,2109.0,2300.0,1341.0,1885.0,1997.0,2034.0,2207.0,1653.0,1159.0,1080.0,2149.0
9,2019,1489.0,1495.0,946.0,1166.0,1070.0,1391.0,736.0,989.0,2465.0,1335.0,,1491.0,913.0,1097.0,1453.0,2066.0,1964.0,2012.0,1225.0,1680.0,1817.0,1864.0,1949.0,1441.0,1036.0,957.0,1909.0
10,2020,1248.0,1298.0,766.0,1113.0,823.0,893.0,701.0,919.0,2156.0,1322.0,1430.0,1117.0,897.0,973.0,1317.0,1819.0,1829.0,1760.0,1119.0,1497.0,1653.0,1709.0,1722.0,1255.0,926.0,849.0,1697.0
11,2021,1162.0,916.0,714.0,918.0,788.0,826.0,670.0,892.0,1923.0,1161.0,879.0,1068.0,927.0,920.0,1233.0,1601.0,1703.0,1539.0,1022.0,1334.0,1504.0,1566.0,1521.0,1094.0,828.0,753.0,1508.0
12,2022,980.0,780.0,759.0,1228.0,1057.0,1245.0,680.0,818.0,2023.0,1296.0,1114.0,1420.0,826.0,732.0,1187.0,1410.0,1586.0,1346.0,934.0,1189.0,1369.0,1436.0,1343.0,953.0,740.0,668.0,1340.0
13,2023,1012.0,744.0,687.0,978.0,748.0,641.0,728.0,841.0,1920.0,771.0,717.0,1234.0,687.0,732.0,1135.0,1241.0,1477.0,1178.0,853.0,1059.0,1245.0,1316.0,1186.0,831.0,661.0,592.0,1191.0
14,2024,944.0,724.0,591.0,1104.0,593.0,566.0,525.0,804.0,1911.0,641.0,872.0,1262.0,822.0,1033.0,1058.0,1093.0,1375.0,1030.0,779.0,944.0,1133.0,1206.0,1048.0,724.0,591.0,525.0,1058.0
